assigned,school_name,D2,instr_overall_ratio,instr_only_ratio,school_total,instruction,instructional_support,administration,grade,pta,magnet,debate
NANDANA,RIVERDALE ELEMENTARY,,0.79,0.72,"4,616,078","3,316,909","307,506","335,677",B,0,0,0
NANDANA,RIVERSIDE ELEMENTARY,,0.80,0.73,"4,008,000","2,925,558","267,780","310,184",C,1,0,0
NANDANA,ROCK LAKE ELEMENTARY,,0.65,0.56,"2,645,019","1,481,748","228,054","407,312",A,0,0,0
NANDANA,ROCK SPRINGS ELEMENTARY,,0.81,0.75,"6,003,584","4,527,563","347,232","487,261",B,0,0,0
NANDANA,ROLLING HILLS ELEMENTARY,,0.77,0.70,"3,996,895","2,801,977","267,780","408,487",C,1,0,0
NANDANA,ROSEMONT ELEMENTARY,,0.72,0.67,"4,306,796","2,874,394","228,054","433,583",C,0,0,0
NANDANA,SADLER ELEMENTARY,,0.79,0.74,"5,272,625","3,876,253","307,506","436,333",C,0,0,0
MEGHA,SALLY RIDE ELEMENTARY,,0.74,0.67,"3,855,386","2,596,018","267,780","407,886",C,1,1,0
MEGHA,SAND LAKE ELEMENTARY,,0.81,0.75,"6,125,203","4,622,834","347,232","487,437",A,1,0,0
MEGHA,SHENANDOAH ELEMENTARY,,0.77,0.70,"4,301,348","3,002,990","307,506","408,743",B,0,0,0
MEGHA,SHINGLE CREEK ELEMENTARY,,0.82,0.76,"5,440,790","4,139,527","307,506","436,466",C,1,0,0
MEGHA,SOUTHWOOD ELEMENTARY,,0.76,0.69,"4,264,554","2,933,420","307,506","409,199",A,1,0,0
MEGHA,SPRING LAKE ELEMENTARY,,0.78,0.70,"3,801,639","2,656,356","307,506","309,449",C,0,0,0
MEGHA,STONE LAKES ELEMENTARY,1,0.76,0.70,"5,087,649","3,567,869","307,506","434,967",A,1,0,0
MEGHA,STONEWYCK ELEMENTARY,,0.78,0.73,"4,759,015","3,465,617","267,780","435,539",A,1,0,0
MEGHA,SUMMERLAKE ELEMENTARY,,0.80,0.74,"5,246,380","3,904,424","267,780","436,442",A,0,0,0
MEGHA,SUN BLAZE ELEMENTARY,1,0.84,0.79,"8,324,891","6,615,154","382,016","640,722",A,1,0,0
MEGHA,SUNRIDGE ELEMENTARY,,0.78,0.71,"4,855,118","3,464,110","307,506","435,572",B,0,0,0
MEGHA,SUNRISE ELEMENTARY,,0.79,0.72,"3,930,554","2,830,297","267,780","408,756",C,0,0,0
MEGHA,SUNSET PARK ELEMENTARY,,0.80,0.75,"6,110,382","4,568,619","347,232","487,409",A,0,0,0
MEGHA,SUNSHINE ELEMENTARY,,0.83,0.79,"7,190,098","5,660,532","307,506","638,287",C,1,0,0
MEGHA,TANGELO PARK ELEMENTARY,,0.79,0.72,"3,623,486","2,618,078","228,054","309,517",C,0,0,0
MEGHA,THORNEBROOKE ELEMENTARY,,0.78,0.72,"4,890,709","3,530,840","307,506","435,026",A,0,0,0
MEGHA,THREE POINTS ELEMENTARY,1,0.75,0.67,"3,719,325","2,482,650","307,506","309,141",C,1,0,0
